trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
344,06:00:00,06:00:00,4999589684,1,,,,,
344,06:02:06,06:02:06,5007960687,2,,,,,
344,06:07:05,06:07:05,5064916996,3,,,,,
344,06:13:32,06:13:32,5064916995,4,,,,,
344,06:15:01,06:15:01,5064916994,5,,,,,
344,06:15:51,06:15:51,5116037043,6,,,,,
344,06:20:32,06:20:32,5064916993,7,,,,,
344,06:23:39,06:23:39,5064916992,8,,,,,
344,06:25:55,06:25:55,5116037042,9,,,,,
344,06:30:10,06:30:10,5037031763,10,,,,,
344,06:34:36,06:34:36,5064916991,11,,,,,
344,06:37:09,06:37:09,5064916990,12,,,,,
344,06:39:59,06:39:59,5064916989,13,,,,,
344,06:42:11,06:42:11,4971250982,14,,,,,
344,06:43:27,06:43:27,5116037041,15,,,,,
344,06:44:04,06:44:04,5115477021,16,,,,,
344,06:45:28,06:45:28,5030747573,17,,,,,
344,06:47:19,06:47:19,5116037040,18,,,,,
344,06:49:49,06:49:49,5030747561,19,,,,,
344,06:50:25,06:50:25,5030747560,20,,,,,
344,06:50:48,06:50:48,5030747559,21,,,,,
344,06:51:22,06:51:22,5030747558,22,,,,,
344,06:51:48,06:51:48,4982950473,23,,,,,
344,06:53:15,06:53:15,5079513347,24,,,,,
344,06:55:16,06:55:16,5079513346,25,,,,,
344,06:56:35,06:56:35,5079513345,26,,,,,
344,06:57:55,06:57:55,5079513344,27,,,,,
344,06:58:21,06:58:21,5029644473,28,,,,,
344,06:58:26,06:58:26,5040165406,29,,,,,
344,06:59:00,06:59:00,5029644472,30,,,,,
0,06:00:00,06:00:00,4990252736,1,,,,,
0,06:06:38,06:06:38,4990252726,2,,,,,
0,06:07:14,06:07:14,4990252725,3,,,,,
0,06:07:40,06:07:40,4286137016,4,,,,,
0,06:11:14,06:11:14,5008338671,5,,,,,
0,06:17:24,06:17:24,5008589266,6,,,,,
0,06:21:50,06:21:50,5008589265,7,,,,,
0,06:23:18,06:23:18,5008589264,8,,,,,
0,06:25:22,06:25:22,5008589261,9,,,,,
0,06:26:53,06:26:53,5008589263,10,,,,,
0,06:29:00,06:29:00,5008589262,11,,,,,
346,06:00:00,06:00:00,4990162109,1,,,,,
346,06:00:47,06:00:47,4990163125,2,,,,,
346,06:01:56,06:01:56,5033271033,3,,,,,
346,06:03:35,06:03:35,5037808481,4,,,,,
346,06:10:38,06:10:38,5004961004,5,,,,,
346,06:11:51,06:11:51,5026460153,6,,,,,
346,06:13:33,06:13:33,5005030177,7,,,,,
346,06:16:59,06:16:59,5029644473,8,,,,,
346,06:19:16,06:19:16,5029644472,9,,,,,
346,06:21:00,06:21:00,5040165404,10,,,,,
347,06:00:00,06:00:00,5030980188,1,,,,,
347,06:01:51,06:01:51,5030249502,2,,,,,
347,06:04:20,06:04:20,5028942307,3,,,,,
347,06:05:21,06:05:21,5037792707,4,,,,,
347,06:07:05,06:07:05,4997374740,5,,,,,
347,06:11:42,06:11:42,4184924289,6,,,,,
347,06:15:23,06:15:23,4997374739,7,,,,,
347,06:18:00,06:18:00,4990162109,8,,,,,
340,06:00:00,06:00:00,4998106214,1,,,,,
340,06:09:21,06:09:21,5037823182,2,,,,,
340,06:14:00,06:14:00,5030980188,3,,,,,
341,06:00:00,06:00:00,5030980188,1,,,,,
341,06:02:37,06:02:37,5030249502,2,,,,,
341,06:05:09,06:05:09,5034539524,3,,,,,
341,06:16:00,06:16:00,5037835927,4,,,,,
342,06:00:00,06:00:00,5005030180,1,,,,,
342,06:03:12,06:03:12,5029644476,2,,,,,
342,06:04:03,06:04:03,5022716842,3,,,,,
342,06:05:17,06:05:17,5022716843,4,,,,,
342,06:07:33,06:07:33,5020525329,5,,,,,
342,06:12:16,06:12:16,5029644475,6,,,,,
342,06:13:17,06:13:17,5079586579,7,,,,,
342,06:16:38,06:16:38,5029644474,8,,,,,
342,06:18:05,06:18:05,5029644473,9,,,,,
342,06:18:18,06:18:18,5040165406,10,,,,,
342,06:19:34,06:19:34,5029644472,11,,,,,
342,06:20:00,06:20:00,5029644471,12,,,,,
343,06:00:00,06:00:00,5029644471,1,,,,,
343,06:00:37,06:00:37,5030249502,2,,,,,
343,06:02:08,06:02:08,5028942307,3,,,,,
343,06:02:45,06:02:45,5037792707,4,,,,,
343,06:04:15,06:04:15,5112822913,5,,,,,
