route_id,trip_id,service_id,shape_id,direction_id,trip_headsign
7589313,344,0,7589307,0,Nima
7437148,0,0,7437119,0,Amasaman
7476946,346,0,7476945,0,Nima
7476946,347,0,7476928,1,Circle
7477058,340,0,7477001,0,Nima Maamobi
7477058,341,0,7477057,1,Accra New Town
7588801,342,0,7588792,0,Nima
7588801,343,0,7588716,1,Accra
7472304,348,0,7472286,0,Nima Mamobi
7472304,349,0,7472219,1,Ashiaman
7445275,298,0,7445185,0,Agape
7445275,299,0,7445272,1,Abeka Lapaz
7481124,296,0,7481044,0,Yellow House
7481124,297,0,7481118,1,Abeka Lapaz
7480997,294,0,7480923,0,Tetteh Quarshie
7480997,295,0,7480992,1,Abeka Lapaz
7564678,292,0,7560155,0,Tema
7564678,293,0,7564674,1,Abeka Lapaz
7482125,290,0,7482055,0,Santa Maria
7482125,291,0,7482123,1,Abeka Lapaz
7424983,199,0,7424841,1,Kaneshie
7424983,198,0,7423715,0,New town
7423582,195,0,7423570,1,Kaneshie
7423582,194,0,7423503,0,Mamponse
7423611,197,0,7423604,1,Kaneshie
7423611,196,0,7423593,0,Mamprobi Alhaji
7488069,191,0,7488056,1,Kaneshie
7488069,190,0,7487993,0,Maamobi
7423322,193,0,7423269,1,Kaneshie
7423322,192,0,7423029,0,Madina-Adenta
7484682,270,0,7484622,0,Sowutuom
7484682,271,0,7484676,1,Kwashieman Junction
7582824,272,0,7582694,0,Rawlings Park
7582824,273,0,7582819,1,Kwashieman Junction
7480537,274,0,7480400,0,Accra
7480537,275,0,7480536,1,Abeka Lapaz
7484467,276,0,7484395,0,Adenta
7484467,277,0,7484459,1,Abeka Lapaz
7480604,278,0,7480574,0,Alhaji
7480604,279,0,7480603,1,Abeka Lapaz
7425412,524,0,7425316,0,Caprice
7425412,525,0,7425333,1,Accra New Town
7420442,526,0,7420174,0,37
7420442,527,0,7420410,1,Achimota
7452660,520,0,7452373,0,Adjringanor/Otanor
7452660,521,0,7452530,1,Accra End of the Motorway
7466042,522,0,7465985,0,American House
7466042,523,0,7466032,1,Accra End of the Motorway
7437100,528,0,7437084,0,Tema Community One Market
7437100,529,0,7437093,1,Abeka Lapaz
7571475,449,0,7571472,1,Accra Salaga
7571475,448,0,7571466,0,Chemuna
7573493,443,0,7573423,1,Accra Rawlings Park
7573493,442,0,7573398,0,La Olympia
7598186,441,0,7598170,1,Accra Rawlings Park
7598186,440,0,7598052,0,Sakaman Blue Lagoon
7459958,447,0,7459937,1,Accra Rawlings Park
7459958,446,0,7459883,0,Osu Penta Hotel
7573256,445,0,7573254,1,Accra Rawlings Park
7573256,444,0,7573166,0,Nungua Authority
7452837,108,0,7452793,0,Circle
7452837,109,0,7452834,1,WAEC
7471831,102,0,7471704,0,Teachers Hall
7471831,103,0,7471821,1,Circle
7441993,100,0,7441963,0,Dome
7441993,101,0,7441989,1,Abeka Lapaz
7473841,106,0,7473839,0,Circle
7473841,107,0,7473677,1,Accra New Tema Station
7418804,104,0,7418634,0,Tema (Motorway)
7418804,105,0,7418705,1,Circle
7440787,39,0,7440783,1,Abeka Lapaz
7440787,38,0,7440716,0,Sapeiman
7475647,33,0,7475644,1,Akoto Lante
7475647,32,0,7475602,0,Kaneshie
7416167,31,0,7416141,1,Abeka Lapaz
7416167,30,0,7416050,0,Dome Kwabenya
7546726,37,0,7546702,1,Alajo Junction
7546726,36,0,7546679,0,Kotobabi Police Station
7475836,35,0,7475834,1,Alajo
7475836,34,0,7475767,0,Circle
7573629,438,0,7573602,0,Mamprobi
7573629,439,0,7573618,1,Accra Post Office
7421719,436,0,7421169,0,Kaneshie
7421719,437,0,7421637,1,Abeka Lapaz
7574341,434,0,7574340,0,Pigfarm
7574341,435,0,7574244,1,Accra CMB
7460180,432,0,7460118,0,Osu
7460180,433,0,7460020,1,Madina
7460396,430,0,7460368,0,Osu
7460396,431,0,7460240,1,Kaneshie
7456425,339,0,7456423,1,Abeka Lapaz
7456425,338,0,7456407,0,Antie-Eku Pallas Town
7588610,335,0,7588606,1,Accra New Town
7588610,334,0,7588311,0,Kasoa
7477085,337,0,7477084,1,Accra New Town
7477085,336,0,7477078,0,Madina
7481117,331,0,7481021,1,37
7481117,330,0,7481099,0,Accra New Town
7587970,333,0,7587870,1,Adenta
7587970,332,0,7587968,0,New Town
